,HH_ID,HHNbr,MWrkHrs,MEdu,FWrkHrs,FEdu,FBirth,F_Rel,MBirth,YogExp,DinExp,ResType_2,ResType_3,ResType_4,ResType_5,ResType_6,ResStatus_2,ResStatus_3,HHInc_2,HHInc_3,HHInc_4,HHInc_5,HHInc_6,HHInc_7,HHInc_8,HHInc_9,HHInc_10,HHInc_11,HHInc_12,HHInc_13,HHInc_14,M_Rel_2,Cable_1,Cats_1,Dogs_1,FAge,MAge
127,1103762,6,55,9,0,9,1948,1,1948,45.3,208.95,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,41,41
128,1103770,1,0,0,0,5,1917,1,0,0.59,0.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,72,1989
129,1103804,3,40,5,40,5,1946,1,1944,3.75,10.9,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,43,45
130,1103838,2,0,0,0,5,1924,1,0,206.04,0.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,65,1989
131,1103861,1,0,0,0,8,1910,1,0,0.0,0.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,79,1989
132,1103879,1,0,0,20,3,1917,1,0,9.42,0.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,72,1989
133,1103911,4,0,0,0,8,1941,1,0,39.43,0.0,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,48,1989
134,1103929,3,55,9,8,9,1952,1,1953,6.42,0.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,37,36
135,1103986,2,0,0,20,5,1946,1,0,27.8,101.7,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,43,1989
136,1104000,4,58,3,45,8,1955,1,1953,16.92,42.88,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,34,36
137,1104059,3,50,10,0,0,0,0,1945,3.08,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,1989,44
138,1104075,2,0,4,0,5,1926,1,1923,6.62,24.12,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,63,66
139,1104083,1,20,9,0,0,0,0,1905,0.0,1.37,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1989,84
140,1104091,2,5,6,35,6,1924,1,1923,1.76,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,65,66
141,1104174,2,0,8,0,11,1919,1,1913,1.33,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,70,76
142,1104208,5,70,5,0,4,1948,1,1940,14.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,41,49
143,1104273,1,0,0,0,8,1907,1,0,14.94,0.0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,82,1989
144,1104307,2,40,7,30,8,1940,1,1938,15.51,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,49,51
145,1104323,4,47,9,43,7,1952,1,1949,27.19,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,37,40
146,1104331,3,60,7,40,9,1942,1,1941,68.3599999999999,348.92,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,47,48
147,1104349,4,45,11,0,9,1958,1,1957,61.36,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,31,32
148,1104380,2,0,0,40,5,1942,1,0,27.59,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,47,1989
149,1104398,2,48,11,6,8,1924,1,1924,91.88,172.62,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,65,65
150,1104430,4,45,8,40,5,1956,1,1954,46.45,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,33,35
151,1104463,2,40,9,36,8,1931,1,1922,7.36,0.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,58,67
152,1104497,2,40,6,40,9,1950,1,1952,39.08,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,39,37
153,1104505,2,50,5,35,7,1928,1,1921,12.78,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,61,68
